Date,Price,Open,High,Low,Vol.,Change %
10/22/2017,"1,271.80","1,281.50","1,285.30","1,263.80",1.68M,-0.68%
10/15/2017,"1,280.50","1,306.00","1,308.40","1,277.60",1.54M,-1.85%
10/8/2017,"1,304.60","1,278.60","1,306.40","1,277.70",1.32M,2.33%
10/1/2017,"1,274.90","1,282.20","1,285.00","1,262.80",1.35M,-0.77%
9/24/2017,"1,284.80","1,294.70","1,313.90","1,278.20",577.86K,-0.78%
9/17/2017,"1,294.90","1,318.60","1,320.40","1,289.00",1.77K,-2.12%
9/10/2017,"1,322.90","1,346.00","1,346.00","1,317.80",0.58K,-1.94%
9/3/2017,"1,349.10","1,338.10","1,359.00","1,330.40",0.75K,1.55%
8/27/2017,"1,328.50","1,294.10","1,329.00","1,294.00",49.44K,2.63%
8/20/2017,"1,294.50","1,285.50","1,297.70","1,277.00",26.17K,0.48%
8/13/2017,"1,288.30","1,292.90","1,303.50","1,269.40",30.72K,-0.19%
8/6/2017,"1,290.70","1,261.40","1,294.60","1,254.00",30.22K,2.33%
7/30/2017,"1,261.30","1,273.00","1,276.90","1,256.90",39.24K,-0.83%
7/23/2017,"1,271.90","1,256.00","1,273.70","1,244.80",26.51K,1.27%
7/16/2017,"1,256.00","1,230.60","1,256.30","1,230.60",2.61K,2.19%
7/9/2017,"1,229.10","1,212.60","1,234.00","1,205.90",1.60K,1.46%
7/2/2017,"1,211.40","1,244.40","1,244.40","1,209.80",1.26K,-2.63%
6/25/2017,"1,244.10","1,258.10","1,259.00","1,236.50",636.42K,-0.98%
6/18/2017,"1,256.40","1,255.80","1,260.00","1,241.70",885.56K,-0.01%
6/11/2017,"1,256.50","1,269.70","1,284.20","1,252.70",1.10M,-1.17%
6/4/2017,"1,271.40","1,282.60","1,298.80","1,266.70",1.09M,-0.69%
5/28/2017,"1,280.20","1,271.20","1,282.20","1,261.30",943.99K,0.83%
5/21/2017,"1,269.70","1,259.00","1,271.00","1,249.80",3.88K,1.16%
5/14/2017,"1,255.20","1,230.00","1,266.70","1,229.90",2.53K,2.11%
5/7/2017,"1,229.30","1,224.20","1,238.00","1,216.00",2.42K,0.07%
4/30/2017,"1,228.50","1,266.40","1,267.70","1,228.10",0.51K,-3.27%
4/23/2017,"1,270.00","1,280.00","1,280.00","1,260.70",797.71K,-1.48%
4/16/2017,"1,289.10","1,292.40","1,297.40","1,275.40",1.21M,0.05%
4/9/2017,"1,288.50","1,255.60","1,290.70","1,248.20",960.90K,2.48%
4/2/2017,"1,257.30","1,251.90","1,273.30","1,245.40",1.08M,0.49%
3/26/2017,"1,251.20","1,251.70","1,262.40","1,241.50",386.76K,0.09%
3/19/2017,"1,250.10","1,231.60","1,254.50","1,228.40",2.74K,1.49%
3/12/2017,"1,231.70","1,207.00","1,234.00","1,198.30",2.58K,2.39%
3/5/2017,"1,203.00","1,235.10","1,236.40","1,197.20",2.28K,-2.04%
2/26/2017,"1,228.10","1,254.70","1,258.40","1,224.90",0.68K,-2.40%
2/19/2017,"1,258.30","1,236.40","1,261.20","1,226.80",945.95K,1.55%
2/12/2017,"1,239.10","1,234.20","1,245.10","1,217.50",1.01M,0.26%
2/5/2017,"1,235.90","1,221.90","1,246.60","1,220.80",1.11M,1.24%
1/29/2017,"1,220.80","1,194.60","1,227.50","1,190.00",1.11M,2.61%
1/22/2017,"1,189.80","1,210.80","1,220.60","1,181.70",7.14K,-1.34%
1/15/2017,"1,206.00","1,200.80","1,220.00","1,197.30",3.31K,0.71%
1/8/2017,"1,197.50","1,174.90","1,208.10","1,174.60",1.66K,2.05%
1/2/2017,"1,173.40","1,151.40","1,185.90","1,146.50",907.61K,-0.12%
1/1/2017,"1,174.80","1,154.00","1,186.50","1,148.10",0.85K,2.01%
